model,prob_col,n,pos_rate,accuracy,auc,brier,ece
claude-instant-v1,p_success,900.0,0.6444444444444445,0.6344444444444445,0.4929498922413793,0.24558294260778044,0.09909574730528725
claude-v2,p_success,900.0,0.6811111111111111,0.6811111111111111,0.4726341577095565,0.22826026250784542,0.10042643510633045
gpt-3.5-turbo-1106,p_success,900.0,0.6755555555555556,0.6588888888888889,0.4933703586878155,0.2349129420591803,0.07060100023945173
gpt-4-1106-preview,p_success,900.0,0.8511111111111112,0.8466666666666667,0.45453216944000624,0.1369906047176047,0.06014891402588951
__overall__,p_success,3600.0,0.7130555555555556,0.7052777777777778,0.557101056638525,0.21143668797310272,0.07102121671454774
